id,name,artist_ids,artists,aritsts_mean_popularity,artists_followers_combined,release_date,explicit,key,mode,loudness,tempo,time_signature,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity
6Xom58OOXk2SoU711L2IXO,Moscow Mule,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,5,0,-5.453,99.968,4,245940,0.804,0.674,0.0333,0.294,1.18e-06,0.115,0.292,88
1dm6z1fWB0cErMszU25dy2,Después de la Playa,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,0,5,1,-3.221,78.293,4,230400,0.564,0.903,0.307,0.356,0.0,0.175,0.607,82
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,"['4q3ewBCX7sLwd24euuV69X', '37230BxxYs9ksS7OkZw3IU']","['Bad Bunny', 'Chencho Corleone']",88.0,67728144.16,2022-05-06,1,1,0,-5.105,92.005,4,178567,0.911,0.712,0.0817,0.0901,2.68e-05,0.0933,0.425,92
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,5,0,-5.198,106.672,4,243717,0.65,0.715,0.253,0.0993,0.000291,0.126,0.187,90
5CzixCxDkRXX9mScCmah8O,Un Ratito,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,0,0,-7.094,93.05,4,176936,0.787,0.546,0.0532,0.305,4.55e-05,0.122,0.222,81
5kVZxyMY1gfdCLiChsfjn1,Yo No Soy Celoso,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,0,1,-6.276,142.004,4,230704,0.872,0.588,0.0492,0.275,0.0,0.17,0.93,79
41oY4WCTj5kccfesTVFnvN,Tarot,"['4q3ewBCX7sLwd24euuV69X', '6nVcHLIgY5pE2YCl8ubca1']","['Bad Bunny', 'Jhayco']",89.0,72361501.82,2022-05-06,1,11,0,-3.971,114.011,4,237895,0.795,0.684,0.0419,0.0225,0.0,0.658,0.419,85
31i56LZnwE6uSu3exoHjtB,Neverita,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,0,10,1,-7.511,122.016,4,173119,0.876,0.498,0.0478,0.0706,0.0,0.143,0.428,87
1797zYiX4cKosMH836X9Gt,La Corriente,"['4q3ewBCX7sLwd24euuV69X', '3LKXWvXFWrkwUzJWxzwVpW']","['Bad Bunny', 'Tony Dize']",83.5,69819208.87,2022-05-06,1,11,0,-3.51,196.12,4,198367,0.663,0.786,0.195,0.229,0.0,0.219,0.579,82
5Eax0qFko2dh7Rl2lYs3bx,Efecto,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,7,0,-8.797,98.047,4,213061,0.801,0.475,0.0516,0.141,1.73e-05,0.0639,0.234,90
4tYFy8ALRjIZvnvSLw5lxN,Party,"['4q3ewBCX7sLwd24euuV69X', '1mcTU81TzQhprhouKaTkpq']","['Bad Bunny', 'Rauw Alejandro']",92.5,82468802.88,2022-05-06,1,9,1,-5.389,97.013,4,227629,0.829,0.799,0.0897,0.0151,0.000543,0.242,0.471,84
2uflssWlCaJ6CbTMOsUpNI,Aguacero,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,6,0,-6.96,121.391,5,210989,0.861,0.645,0.0743,0.423,0.000592,0.349,0.668,79
2NMjggapJcXXM7WccGEBUO,Enséñame a Bailar,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,0,8,1,-5.08,105.009,4,176000,0.81,0.789,0.0846,0.191,1.08e-05,0.467,0.77,80
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,"['4q3ewBCX7sLwd24euuV69X', '5n9bMYfz9qss2VOW89EVs2']","['Bad Bunny', 'Bomba Estéreo']",84.0,68093944.8,2022-05-06,0,3,0,-5.745,79.928,4,258299,0.647,0.686,0.0413,0.08,1.34e-06,0.528,0.268,91
4d4ZXH4dr5bYfgErHiZCX2,Dos Mil 16,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,1,1,-6.534,130.058,3,208615,0.817,0.67,0.0506,0.123,1.92e-06,0.128,0.495,81
0UvZcEfpzVyx47QsRbjyBz,El Apagón,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],96.0,70146841.0,2022-05-06,1,8,1,-4.485,117.765,4,201816,0.629,0.698,0.308,0.0509,0.00166,0.0909,0.599,76
